EXPERIMENT,gf,mf,σ,T,foram,SYSTEM,%foram,,,,min %,max %,"Here you can find the model output for the carnivorous non-spinose with σ= 0.5, 0.6, 0.8 and 1 with optimum predator -prey length ratio 10:1"
other,40,0,1,20,1.10E-03,MESO,5.48E-01,,,,,,
other,45,20,1,20,2.31E-02,MESO,1.11E+01,,,,,,
other,50,20,1,20,1.00E-07,MESO,7.00E-05,,,,,,
other,50,30,1,20,1.33E-02,MESO,1.02E+01,,,,,,
other,50,25,1,20,9.40E-04,MESO,4.68E-01,,,,,,
other,50,25,1,20,9.40E-04,MESO,4.68E-01,,,,,,
other,55,20,1,20,DEAD,MESO,DEAD,,,,,,
other,55,30,1,20,DEAD,MESO,DEAD,,,,,,
other,55,40,1,20,1.18E-02,MESO,5.75E+00,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
other,45,10,1,20,4.81E-05,EUTRO,2.07E-02,,,,,,
other,0,0,1,20,3.53E-02,EUTRO,1.42E+01,,,,,,
other,40,0,1,20,2.48E-03,EUTRO,1.06E+00,,,,,,
other,45,0,1,20,DEAD,EUTRO,DEAD,,,,,,
other,50,18,1,20,DEAD,EUTRO,DEAD,,,,,,
other,50,20,1,20,4.00E-07,EUTRO,1.58E-04,,,,,,
other,50,25,1,20,2.21E-03,EUTRO,9.46E-01,,,,,,
other,55,20,1,20,DEAD,EUTRO,DEAD,,,,,,
other,55,30,1,20,DEAD,EUTRO,DEAD,,,,,,
other,55,40,1,20,1.59E-02,EUTRO,6.64E+00,,,,,,
,,,,,,,,,,,,,
other,0,0,1,30,2.32E-02,OLIGO,9.54E+00,,,,,,
other,10,0,1,30,2.34E-02,OLIGO,9.64E+00,,,,,,
other,20,10,1,30,2.37E-02,OLIGO,9.74E+00,,,,,,
other,40,0,1,30,2.45E-02,OLIGO,9.99E+00,,,,,,
other,50,0,1,30,2.51E-02,OLIGO,1.02E+01,,,,,,
other,60,0,1,30,2.48E-02,OLIGO,1.02E+01,,,,,,
other,70,0,1,30,DEAD,OLIGO,DEAD,,,,,,
other,80,30,1,30,DEAD,OLIGO,DEAD,,,,,,
other,80,50,1,30,DEAD,OLIGO,DEAD,,,,,,
other,80,30,1,30,1.75E-02,OLIGO,6.75E+00,,,,,,
other,80,60,1,30,3.00E-08,OLIGO,1.35E-05,,,,,,
other,80,65,1,30,4.00E-04,OLIGO,1.58E-01,,,,,,
,,,,,,,,,,,,,
other,0,0,1,30,2.31E-02,MESO,6.23E+00,,,,,,
other,40,0,1,30,2.35E-02,MESO,6.30E+00,,,,,,
other,60,0,1,30,1.80E-02,MESO,4.79E+00,,,,,,
other,70,0,1,30,DEAD,MESO,DEAD,,,,,,
other,70,20,1,30,8.33E-03,MESO,2.21E+00,,,,,,
other,70,10,1,30,9.00E-08,MESO,2.00E-05,,,,,,
other,70,15,1,30,8.44E-04,MESO,2.27E-01,,,,,,
other,80,60,1,30,4.80E-04,MESO,1.29E-01,,,,,,
,,,,,,,,,,,,,
other,0,0,1,30,2.40E-02,EUTRO,5.37E+00,,,,,,
other,60,0,1,30,1.25E-02,EUTRO,2.61E+00,,,,,,
other,70,0,1,30,DEAD,EUTRO,DEAD,,,,,,
other,70,10,1,30,2.96E-03,EUTRO,6.22E-01,,,,,,
other,70,5,1,30,1.46E-06,EUTRO,3.09E-04,,,,,,
other,80,55,1,30,1.39E-04,EUTRO,2.93E-02,,,,,,
