Scenario,gf,mf,σ,PF biomass (mmolN m-3),Enviroment,Temperature (oC),Predation decrease (%),%foram,,min,max,,"Here we present the model output for the herbivorous non-spinose with σ = 0.5, 0.6, 0.8, 1.0"
other,20,50,1,8.29E-03,O,30,0,3.33E+00,,,,,
other,20,55,1,9.53E-03,O,30,0,3.84E+00,,,,,
other,20,45,1,7.34E-03,O,30,0,2.93E+00,,,,,
other,20,35,1,4.81E-03,O,30,0,1.91E+00,,,,,
other,20,20,1,DEAD,O,30,0,DEAD,,,,,
other,20,25,1,DEAD,O,30,0,DEAD,,,,,
other,25,35,1,DEAD,O,30,0,DEAD,,,,,
other,25,45,1,6.49E-03,O,30,0,2.57E+00,,,,,
other,30,35,1,DEAD,O,30,0,DEAD,,,,,
other,30,55,1,7.71E-03,O,30,0,3.06E+00,,,,,
other,35,45,1,DEAD,O,30,0,DEAD,,,,,
other,35,50,1,DEAD,O,30,0,DEAD,,,,,
other,40,55,1,DEAD,O,30,0,DEAD,,,,,
other,40,65,1,7.10E-03,O,30,0,2.80E+00,,,,,
other,45,65,1,1.81E-03,O,30,0,7.18E-01,,,,,
other,50,70,1,DEAD,O,30,0,DEAD,,,,,
other,50,80,1,8.98E-03,O,30,0,3.52E+00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
other,20,40,0.5,3.01E-07,MESO,10,2.95E-04,DEAD,,,,,
other,30,45,0.5,6.74E-06,MESO,10,6.60E-03,DEAD,,,,,
other,35,60,0.5,2.67E-07,MESO,10,2.61E-04,DEAD,,,,,
other,40,70,0.5,1.50E-04,MESO,10,1.46E-01,1.46E-01,,,,,
other,40,65,0.5,1.07E-08,MESO,10,1.05E-05,DEAD,,,,,
other,50,80,0.5,2.41E-07,MESO,10,2.35E-04,DEAD,,,,,
other,50,85,0.5,2.87E-03,MESO,10,2.78E+00,2.78E+00,,,,,
other,10,30,0.5,1.94E-04,MESO,10,1.90E-01,1.90E-01,,,,,
other,10,25,0.5,1.34E-08,MESO,10,1.31E-05,DEAD,,,,,
,,,,,,,,,,,,,
other,20,40,0.5,2.16E-06,EUTRO,10,1.95E-03,DEAD,,,,,
other,25,45,0.5,8.08E-08,EUTRO,10,7.30E-05,DEAD,,,,,
other,25,50,0.5,9.32E-04,EUTRO,10,8.39E-01,8.39E-01,,,,,
other,30,50,0.5,3.04E-09,EUTRO,10,2.74E-06,DEAD,,,,,
other,35,60,0.5,1.35E-06,EUTRO,10,1.21E-03,DEAD,,,,,
other,40,70,0.5,6.05E-04,EUTRO,10,5.45E-01,5.45E-01,,,,,
other,40,65,0.5,5.02E-08,EUTRO,10,4.53E-05,DEAD,,,,,
other,50,80,0.5,8.42E-07,EUTRO,10,7.60E-04,DEAD,,,,,
other,50,85,0.5,8.93E-03,EUTRO,10,7.72E+00,7.72E+00,,,,,
other,10,30,0.5,6.55E-08,EUTRO,10,5.91E-05,DEAD,,,,,
other,10,25,0.5,1.31E-07,EUTRO,10,1.18E-04,DEAD,,,,,
other,30,55,0.5,3.61E-05,EUTRO,10,,3.26E-02,,,,,
,,,,,,,,,,,,,
other,20,70,0.5,1.84E-06,OLIGO,20,9.13E-04,DEAD,,,,,
other,25,75,0.5,8.55E-07,OLIGO,20,5.64E-04,DEAD,,,,,
other,25,80,0.5,4.65E-03,OLIGO,20,3.03E+00,3.03E+00,,,,,
other,30,80,0.5,1.17E-06,OLIGO,20,7.69E-04,DEAD,,,,,
other,30,85,0.5,5.92E-03,OLIGO,20,3.83E+00,3.83E+00,,,,,
,,,,,,,,,,,,,
other,10,50,0.5,1.19E-05,MESO,20,5.91E-03,DEAD,,,,,
other,10,55,0.5,7.12E-03,MESO,20,3.49E+00,3.49E+00,,,,,
other,20,60,0.5,1.84E-06,MESO,20,9.13E-04,DEAD,,,,,
other,20,65,0.5,5.09E-03,MESO,20,2.50E+00,2.50E+00,,,,,
other,25,70,0.5,3.53E-03,MESO,20,1.74E+00,1.74E+00,,,,,
other,25,65,0.5,7.22E-07,MESO,20,3.59E-04,DEAD,,,,,
other,30,70,0.5,2.79E-07,MESO,20,1.39E-04,DEAD,,,,,
other,30,75,0.5,2.06E-03,MESO,20,1.02E+00,1.02E+00,,,,,
other,35,80,0.5,1.00E-03,MESO,20,4.96E-01,4.96E-01,,,,,
other,35,75,0.5,1.11E-07,MESO,20,5.54E-05,DEAD,,,,,
other,40,80,0.5,4.34E-08,MESO,20,2.16E-05,DEAD,,,,,
other,40,85,0.5,4.33E-04,MESO,20,2.15E-01,2.15E-01,,,,,
other,50,90,0.5,6.78E-09,MESO,20,3.37E-06,DEAD,,,,,
other,50,95,0.5,7.20E-05,MESO,20,,3.58E-02,,,,,
,,,,,,,,,,,,,
other,10,55,0.5,4.94E-03,EUTRO,20,2.12E+00,2.12E+00,,,,,
other,10,55,0.5,5.18E-06,EUTRO,20,2.23E-03,DEAD,,,,,
other,20,60,0.5,9.08E-07,EUTRO,20,3.90E-04,DEAD,,,,,
other,20,65,0.5,2.69E-03,EUTRO,20,1.15E+00,1.15E+00,,,,,
other,25,70,0.5,1.83E-03,EUTRO,20,7.83E-01,7.83E-01,,,,,
other,25,65,0.5,3.76E-07,EUTRO,20,1.62E-04,DEAD,,,,,
other,30,70,0.5,1.55E-07,EUTRO,20,6.67E-05,DEAD,,,,,
other,30,75,0.5,1.13E-03,EUTRO,20,4.85E-01,4.85E-01,,,,,
other,35,80,0.5,6.15E-04,EUTRO,20,2.64E-01,2.64E-01,,,,,
other,35,75,0.5,6.42E-08,EUTRO,20,2.76E-05,DEAD,,,,,
other,40,80,0.5,2.64E-08,EUTRO,20,1.14E-05,DEAD,,,,,
other,40,85,0.5,2.95E-04,EUTRO,20,1.27E-01,1.27E-01,,,,,
other,50,90,0.5,4.50E-09,EUTRO,20,1.94E-06,DEAD,,,,,
,,,,,,,,,,,,,
other,10,30,0.5,1.66E-05,OLIGO,30,4.42E-03,DEAD,,,,,
other,10,50,0.5,4.10E-03,OLIGO,30,1.08E+00,1.08E+00,,,,,
other,20,40,0.5,9.99E-08,OLIGO,30,2.66E-05,DEAD,,,,,
other,20,50,0.5,2.20E-03,OLIGO,30,5.81E-01,5.81E-01,,,,,
other,25,45,0.5,4.69E-09,OLIGO,30,1.25E-06,DEAD,,,,,
other,25,60,0.5,3.23E-04,OLIGO,30,,8.57E-02,,,,,
other,35,60,0.5,1.09E-07,OLIGO,30,2.90E-05,DEAD,,,,,
other,35,70,0.5,3.99E-03,OLIGO,30,1.05E+00,1.05E+00,,,,,
other,40,80,0.5,8.59E-03,OLIGO,30,2.25E+00,2.25E+00,,,,,
other,50,80,0.5,1.19E-07,OLIGO,30,3.18E-05,DEAD,,,,,
other,50,90,0.5,6.44E-03,OLIGO,30,1.69E+00,1.69E+00,,,,,
,,,,,,,,,,,,,
other,10,30,0.5,1.66E-05,MESO,30,4.42E-03,DEAD,,,,,
other,10,50,0.5,4.10E-03,MESO,30,1.08E+00,1.08E+00,,,,,
other,20,40,0.5,9.99E-08,MESO,30,2.66E-05,DEAD,,,,,
other,20,50,0.5,2.20E-03,MESO,30,5.81E-01,5.81E-01,,,,,
other,25,45,0.5,4.69E-09,MESO,30,1.25E-06,DEAD,,,,,
other,25,60,0.5,3.23E-04,MESO,30,,8.57E-02,,,,,
other,35,60,0.5,1.09E-07,MESO,30,2.90E-05,DEAD,,,,,
other,35,70,0.5,3.99E-03,MESO,30,1.05E+00,1.05E+00,,,,,
